"Project","Unit","SDG 1","SDG 2","SDG 3","SDG 4","SDG 5","SDG 6","SDG 7","SDG 8","SDG 9","SDG 10","SDG 11","SDG 12","SDG 13","SDG 14","SDG 15","SDG 16","SDG 17","Main_SDG"
"P079032","# matches",9,1,0,0,0,6,2,2,0,0,7,2,0,0,0,3,19,"SDG 17"
"P085375","# matches",2,1,5,0,1,44,0,0,3,3,3,1,4,2,0,16,18,"SDG 6"
"P086592","# matches",1,15,0,0,1,8,1,1,1,1,2,6,1,0,4,18,11,"SDG 16"
"P088799","# matches",6,7,4,0,0,3,0,0,7,4,6,7,2,1,8,16,21,"SDG 17"
"P088966","# matches",1,0,1,0,0,11,1,1,1,1,6,6,1,3,1,9,13,"SDG 17"
"P089985","# matches",1,1,1,0,0,5,1,0,1,0,8,1,4,0,2,16,14,"SDG 16"
"P090990","# matches",2,0,5,0,0,0,0,0,1,0,0,0,1,2,0,7,9,"SDG 17"
"P092218","# matches",0,0,2,0,0,2,0,0,1,1,1,4,1,0,0,5,28,"SDG 17"
"P092429","# matches",4,0,0,0,0,0,0,1,0,0,0,3,0,1,0,17,13,"SDG 16"
"P093765","# matches",0,2,0,0,0,6,2,1,1,1,2,5,3,1,3,1,22,"SDG 17"
"P093775","# matches",2,12,0,1,0,12,0,1,0,0,2,12,3,1,2,6,21,"SDG 17"
"P096124","# matches",1,7,3,0,0,3,8,0,4,2,6,2,6,1,10,21,16,"SDG 16"
"P096481","# matches",1,0,0,0,0,6,2,1,0,0,0,1,1,0,1,2,14,"SDG 17"
"P096532","# matches",2,1,2,0,0,13,1,0,0,3,1,5,4,0,1,4,7,"SDG 6"
"P099270","# matches",2,0,21,0,0,2,2,1,0,1,4,1,6,0,1,16,14,"SDG 3"
"P101103","# matches",0,0,5,0,0,1,3,0,4,1,3,6,1,2,0,7,15,"SDG 17"
